List of MISMATCHES between SequenceA and SequenceB: (1)Inside chains and (2)Between chains


(1). Mismatches inside chains

 L1EndA	L2StartA		L1EndB	L2StartB		Mismatch
1834946	1834948		1332263	1332265		    2
1834982	1834989		1332299	1332306		    7
1835165	1835167		1332482	1332484		    2
1835321	1835322		1332638	1332639		    1
1835396	1835398		1332713	1332715		    2
1835483	1835484		1332800	1332801		    1
1835606	1835608		1332923	1332925		    2
1835689	1835690		1333006	1333007		    1
1836001	1836002		1333318	1333319		    1
1836053	1836056		1333370	1333373		    3
1836175	1836177		1333492	1333494		    2
1836231	1836253		1333548	1333570		   22
1836315	1836319		1333632	1333636		    4
1836569	1836571		1333886	1333888		    2
1836622	1836623		1333939	1333940		    1
1836679	1836680		1333996	1333997		    1
1836736	1836737		1334053	1334054		    1
1836868	1836869		1334185	1334186		    1
1837117	1837120		1334434	1334437		    3
1837183	1837185		1334500	1334502		    2
1837219	1837226		1334536	1334543		    7
1837279	1837292		1334596	1334609		   13
1837606	1837628		1334923	1334945		   22
1837849	1837850		1335166	1335167		    1
1837906	1837925		1335223	1335242		   19
1837969	1837971		1335286	1335288		    2
1838099	1838120		1335416	1335437		   21
1838254	1838283		1335571	1335600		   29
1838374	1838460		1335691	1335777		   86
1838491	1838501		1335808	1335818		   10
1838611	1838612		1335928	1335929		    1
1838866	1838867		1336183	1336184		    1
1839055	1839056		1336372	1336373		    1
1839157	1839158		1336474	1336475		    1
1839215	1839216		1336532	1336533		    1
1839254	1839255		1336571	1336572		    1
1839383	1839384		1336700	1336701		    1
1839524	1839526		1336841	1336843		    2
1839993	1839995		1337310	1337312		    2
1840049	1840051		1337366	1337368		    2
1840085	1840086		1337402	1337403		    1
1840463	1840465		1337780	1337782		    2
1840673	1840674		1337990	1337991		    1
1840697	1840698		1338014	1338015		    1
1840736	1840737		1338053	1338054		    1
1840846	1840848		1338163	1338165		    2
1841103	1841105		1338420	1338422		    2
1841162	1841163		1338479	1338480		    1
1841231	1841232		1338548	1338549		    1
1841916	1841917		1339233	1339234		    1
1841971	1841972		1339288	1339289		    1
1842025	1842027		1339342	1339344		    2
1842084	1842086		1339401	1339403		    2
1842330	1842331		1339647	1339648		    1
1842387	1842400		1339704	1339717		   13
1842469	1842502		1339787	1339820		   33
1842707	1842709		1340025	1340027		    2
1843040	1843052		1340358	1340370		   12
1843089	1843091		1340407	1340409		    2
1843258	1843259		1340576	1340577		    1
1843397	1843408		1340715	1340726		   11
1843433	1843453		1340751	1340771		   20
1843518	1843519		1340836	1340837		    1
1843736	1843738		1341054	1341056		    2
1843785	1843787		1341103	1341105		    2
1843844	1843860		1341162	1341178		   16
1843984	1843987		1341302	1341305		    3
1844100	1844101		1341418	1341419		    1
1844125	1844126		1341443	1341444		    1
1844266	1844267		1341584	1341585		    1
1844321	1844323		1341639	1341641		    2
1844490	1844492		1341808	1341810		    2
1844523	1844524		1341841	1341842		    1
1844577	1844579		1341895	1341897		    2
1844604	1844606		1341922	1341924		    2
1844634	1844635		1341952	1341953		    1
1844733	1844752		1342051	1342070		   19
1844805	1844806		1342123	1342124		    1
1844889	1844890		1342207	1342208		    1
1844931	1844932		1342249	1342250		    1
1845080	1845082		1342398	1342400		    2
1845246	1845247		1342564	1342565		    1
1845407	1845409		1342725	1342727		    2
1845430	1845432		1342748	1342750		    2
1845554	1845556		1342872	1342874		    2
1845641	1845649		1342959	1342967		    8
1845753	1845755		1343071	1343073		    2
1845856	1845868		1343174	1343186		   12
1845953	1845998		1343271	1343316		   45
1846061	1846062		1343379	1343380		    1
1846163	1846164		1343481	1343482		    1
1846295	1846296		1343613	1343614		    1
1846336	1846344		1343654	1343662		    8
1846502	1846503		1343820	1343821		    1
1846541	1846542		1343859	1343860		    1
1846586	1846588		1343904	1343906		    2
1846616	1846617		1343934	1343935		    1
1846640	1846641		1343958	1343959		    1
1846664	1846665		1343982	1343983		    1
1846688	1846689		1344006	1344007		    1
1846754	1846756		1344072	1344074		    2
1846873	1846874		1344191	1344192		    1
1846988	1847007		1344306	1344325		   19
1847120	1847121		1344438	1344439		    1
1847144	1847148		1344462	1344466		    4
1847231	1847233		1344549	1344551		    2
1847318	1847326		1344636	1344644		    8
1847531	1847532		1344849	1344850		    1
1847563	1847565		1344881	1344883		    2
1847654	1847660		1344973	1344979		    6
1847735	1847764		1345054	1345083		   29
1847789	1847790		1345108	1345109		    1
1847846	1847848		1345165	1345167		    2
1848002	1848003		1345321	1345322		    1
1848050	1848051		1345369	1345370		    1
1848245	1848246		1345564	1345565		    1
1848383	1848385		1345702	1345704		    2
1848413	1848417		1345732	1345736		    4
1848653	1848655		1345972	1345974		    2
1848689	1848691		1346008	1346010		    2
1849048	1849050		1346367	1346369		    2
1849118	1849120		1346437	1346439		    2
1849148	1849150		1346467	1346469		    2
1849181	1849182		1346500	1346501		    1
1849232	1849234		1346551	1346553		    2
1849265	1849266		1346584	1346585		    1
1849349	1849372		1346668	1346691		   23
1849520	1849522		1346839	1346841		    2
1849916	1849923		1347235	1347242		    7
1849961	1849962		1347280	1347281		    1
1849989	1849990		1347308	1347309		    1
1850034	1850058		1347353	1347377		   24
1850139	1850140		1347458	1347459		    1
1850320	1850322		1347639	1347641		    2
1850613	1850615		1347932	1347934		    2
1851416	1851418		1348735	1348737		    2
1851545	1851558		1348864	1348877		   13
1851689	1851690		1349008	1349009		    1
1859795	1859808		1349886	1349899		   13
1860104	1860111		1350195	1350202		    7
1860208	1860210		1350299	1350301		    2
1860371	1860372		1350462	1350463		    1
1860506	1860507		1350597	1350598		    1
1860705	1860728		1350796	1350819		   23
1860762	1860763		1350853	1350854		    1
1860822	1860824		1350913	1350915		    2
1860849	1860850		1350940	1350941		    1
1860948	1860949		1351039	1351040		    1
1861002	1861003		1351093	1351094		    1
1861116	1861129		1351207	1351220		   13
1861233	1861255		1351324	1351346		   22
1861293	1861294		1351384	1351385		    1
1861365	1861366		1351456	1351457		    1
1861422	1861427		1351513	1351518		    5
1861491	1861492		1351582	1351583		    1
1861530	1861531		1351621	1351622		    1
1861580	1861596		1351671	1351687		   16
1861618	1861619		1351709	1351710		    1
1861733	1861735		1351824	1351826		    2
1861820	1861822		1351911	1351913		    2
1861945	1861949		1352036	1352040		    4
1862021	1862022		1352112	1352113		    1
1862081	1862082		1352172	1352173		    1
1862132	1862133		1352223	1352224		    1
1862252	1862268		1352343	1352359		   16
1862318	1862319		1352409	1352410		    1
1863009	1863010		1353100	1353101		    1
1863207	1863208		1353298	1353299		    1
1863306	1863313		1353397	1353404		    7
1863602	1863621		1353693	1353712		   19
1863665	1863666		1353756	1353757		    1
1863933	1863934		1354024	1354025		    1
1864301	1864303		1354392	1354394		    2
1864394	1864398		1354485	1354489		    4
1864523	1864531		1354614	1354622		    8
1864559	1864560		1354650	1354651		    1
1864694	1864731		1354785	1354822		   37
1864799	1864800		1354890	1354891		    1
1864967	1864968		1355058	1355059		    1
1865096	1865098		1355187	1355189		    2
1865155	1865159		1355246	1355250		    4
1865293	1865295		1355384	1355386		    2
1865352	1865353		1355443	1355444		    1
1865438	1865439		1355529	1355530		    1
1865522	1865523		1355613	1355614		    1
1865694	1865695		1355785	1355786		    1
1865718	1865719		1355809	1355810		    1
1865742	1865773		1355833	1355864		   31
1865798	1865806		1355889	1355897		    8
1866024	1866094		1356115	1356185		   70
1866156	1866157		1356247	1356248		    1
1866180	1866211		1356271	1356302		   31
1866255	1866304		1356346	1356395		   49
1866327	1866328		1356418	1356419		    1
1866375	1866376		1356466	1356467		    1
1866423	1866443		1356514	1356534		   20
1866468	1866469		1356559	1356560		    1
1866585	1866586		1356676	1356677		    1
1866765	1866773		1356856	1356864		    8
1866801	1866802		1356892	1356893		    1
1866924	1866926		1357015	1357017		    2
1866951	1867004		1357042	1357095		   53
1867038	1867039		1357129	1357130		    1
1867216	1867217		1357307	1357308		    1
1867244	1867246		1357335	1357337		    2
1867321	1867327		1357412	1357418		    6
1867421	1867425		1357512	1357516		    4
1867508	1867521		1357599	1357612		   13
1867592	1867594		1357683	1357685		    2
1867622	1867623		1357713	1357714		    1
1867754	1867792		1357845	1357883		   38
1867817	1867827		1357908	1357918		   10
1867877	1867881		1357968	1357972		    4
1867943	1867947		1358034	1358038		    4
1868291	1868298		1358382	1358389		    7
1868516	1868517		1358607	1358608		    1
1868678	1868700		1358769	1358791		   22
1869008	1869009		1359099	1359100		    1
1869050	1869051		1359141	1359142		    1
1869113	1869114		1359204	1359205		    1
1869161	1869186		1359252	1359277		   25
1869209	1869210		1359300	1359301		    1
1869248	1869250		1359339	1359341		    2
1869322	1869324		1359413	1359415		    2
1869345	1869347		1359436	1359438		    2
1869404	1869405		1359495	1359496		    1
1869548	1869558		1359639	1359649		   10
1869596	1869597		1359687	1359688		    1
1869677	1869679		1359768	1359770		    2
1870093	1870109		1360184	1360200		   16
1870259	1870260		1360350	1360351		    1
1870677	1870705		1360893	1360921		   28
1870735	1870737		1360951	1360953		    2
1870791	1870807		1361007	1361023		   16
1870830	1870839		1361046	1361055		    9
1870911	1870912		1361127	1361128		    1
1871062	1871119		1361278	1361335		   57
1871229	1871230		1361445	1361446		    1
1871283	1871285		1361499	1361501		    2
1871316	1871317		1361532	1361533		    1
1871430	1871446		1361646	1361662		   16
1871490	1871491		1361706	1361707		    1
1871621	1871622		1361837	1361838		    1
1871678	1871732		1361894	1361948		   54
1872000	1872002		1362216	1362218		    2
1872043	1872044		1362259	1362260		    1
1872085	1872090		1362301	1362306		    5
1872115	1872117		1362331	1362333		    2
1872157	1872168		1362373	1362384		   11
1872196	1872207		1362412	1362423		   11
1872232	1872252		1362448	1362468		   20
1872286	1872287		1362502	1362503		    1
1872409	1872411		1362625	1362627		    2
1872496	1872498		1362712	1362714		    2
1872523	1872548		1362739	1362764		   25
1872571	1872657		1362787	1362873		   86
1872682	1872704		1362898	1362920		   22
1872748	1872765		1362964	1362981		   17
1872799	1872833		1363015	1363049		   34
1872866	1872884		1363082	1363100		   18
1872922	1872925		1363138	1363141		    3
1872946	1872948		1363162	1363164		    2
1872979	1872980		1363195	1363196		    1
1873016	1873040		1363232	1363256		   24
1873087	1873089		1363303	1363305		    2
1873123	1873157		1363339	1363373		   34
1873258	1873263		1363474	1363479		    5
1873331	1873332		1363547	1363548		    1
1873397	1873398		1363613	1363614		    1
1873559	1873560		1363775	1363776		    1
1873598	1873599		1363814	1363815		    1
1873715	1873719		1363931	1363935		    4
1873766	1873809		1363982	1364025		   43
1873952	1873960		1364168	1364176		    8
1874024	1874025		1364240	1364241		    1
1874066	1874068		1364282	1364284		    2
1874099	1874113		1364315	1364329		   14
1874138	1874139		1364354	1364355		    1
1874186	1874188		1364402	1364404		    2
1874216	1874218		1364432	1364434		    2
1874252	1874256		1364468	1364472		    4
1874306	1874436		1364522	1364652		  130
1874459	1874478		1364675	1364694		   19
1874501	1874512		1364717	1364728		   11
1874543	1874544		1364759	1364760		    1
1874705	1874715		1364910	1364920		   10
1874743	1874744		1364948	1364949		    1
1874794	1874817		1364999	1365022		   23
1875061	1875062		1365266	1365267		    1
1875156	1875228		1365361	1365433		   72
1875253	1875255		1365458	1365460		    2
1875319	1875323		1365524	1365528		    4
1875430	1875431		1365635	1365636		    1
1875595	1875596		1365800	1365801		    1
1875703	1875705		1365908	1365910		    2
1875759	1875766		1365964	1365971		    7
1875872	1875873		1366077	1366078		    1
1875982	1875983		1366187	1366188		    1
1876013	1876014		1366218	1366219		    1
1876042	1876048		1366247	1366253		    6
1876099	1876100		1366304	1366305		    1
1876151	1876163		1366356	1366368		   12
1876321	1876322		1366526	1366527		    1
1876519	1876520		1366724	1366725		    1
1876644	1876646		1366849	1366851		    2
1876901	1876903		1367106	1367108		    2
1876968	1876970		1367173	1367175		    2
1877084	1877085		1367289	1367290		    1
1877168	1877170		1367373	1367375		    2
1877305	1877307		1367510	1367512		    2
1877401	1877414		1367606	1367619		   13
1877476	1877484		1367681	1367689		    8
1877669	1877670		1367874	1367875		    1
1877721	1877732		1367926	1367937		   11
1877883	1877885		1368090	1368092		    2
1878209	1878227		1368417	1368435		   18
1878287	1878295		1368495	1368503		    8
1878320	1878321		1368528	1368529		    1
1878472	1878474		1368681	1368683		    2
1878610	1878612		1368819	1368821		    2
1878646	1878648		1368855	1368857		    2
1878673	1878711		1368882	1368920		   38
1878928	1878938		1369137	1369147		   10
1879210	1879211		1369419	1369420		    1
1879309	1879310		1369518	1369519		    1
1879385	1879386		1369594	1369595		    1
1879510	1879518		1369719	1369727		    8
1879542	1879575		1369751	1369784		   33
1879619	1879629		1369828	1369838		   10
1879667	1879669		1369876	1369878		    2
1879763	1879764		1369972	1369973		    1
1879800	1879804		1370009	1370013		    4
1879847	1879864		1370056	1370073		   17
1879895	1880017		1370104	1370226		  122
1880045	1880058		1370254	1370267		   13
1880168	1880169		1370377	1370378		    1
1880207	1880208		1370416	1370417		    1
1880282	1880311		1370491	1370520		   29
1880349	1880355		1370558	1370564		    6
1880391	1880412		1370600	1370621		   21
1880433	1880445		1370642	1370654		   12
1880555	1880556		1370764	1370765		    1
1880600	1880601		1370809	1370810		    1
1880639	1880667		1370848	1370876		   28
1880732	1880770		1370941	1370979		   38
1880813	1880853		1371022	1371062		   40
1880876	1880989		1371085	1371198		  113
1881080	1881093		1371289	1371302		   13
1881121	1881152		1371330	1371361		   31
1881205	1881224		1371414	1371433		   19
1881247	1881248		1371456	1371457		    1
1881278	1881279		1371487	1371488		    1
1881313	1881314		1371522	1371523		    1
1881394	1881395		1371603	1371604		    1
1881448	1881450		1371657	1371659		    2
1881478	1881479		1371687	1371688		    1
1881520	1881539		1371729	1371748		   19
1881679	1881681		1371888	1371890		    2
1881709	1881714		1371918	1371923		    5
1881752	1881786		1371961	1371995		   34
1881817	1881825		1372026	1372034		    8
1881932	1881946		1372141	1372155		   14
1881983	1881984		1372192	1372193		    1
1882014	1882035		1372223	1372244		   21
1882058	1882099		1372267	1372308		   41
1882133	1882147		1372342	1372356		   14
1882172	1882221		1372381	1372430		   49
1882265	1882266		1372474	1372475		    1
1882289	1882344		1372498	1372553		   55
1882391	1882410		1372600	1372619		   19
1882469	1882484		1372678	1372693		   15
1882508	1882509		1372717	1372718		    1
1882532	1882533		1372741	1372742		    1
1882592	1882596		1372801	1372805		    4
1882655	1882656		1372864	1372865		    1
1882775	1882777		1372984	1372986		    2
1882805	1882806		1373014	1373015		    1
1882847	1882849		1373056	1373058		    2
1882877	1882878		1373086	1373087		    1
1882931	1882933		1373140	1373142		    2
1882967	1882968		1373176	1373177		    1
1883118	1883119		1373327	1373328		    1
1883163	1883165		1373372	1373374		    2
1883186	1883188		1373395	1373397		    2
1883219	1883280		1373428	1373489		   61
1883321	1883421		1373530	1373630		  100
1883480	1883527		1373689	1373736		   47
1883552	1883565		1373761	1373774		   13
1883633	1883635		1373842	1373844		    2
1883666	1883692		1373875	1373901		   26
1883741	1883788		1373950	1373997		   47
1883819	1883820		1374028	1374029		    1
1883878	1883888		1374088	1374098		   10
1883959	1883960		1374169	1374170		    1
1883981	1883982		1374191	1374192		    1
1884025	1884047		1374235	1374257		   22
1884091	1884093		1374301	1374303		    2
1884121	1884146		1374331	1374356		   25
1884331	1884369		1374541	1374579		   38
1884397	1884399		1374607	1374609		    2
1884443	1884445		1374653	1374655		    2
1884466	1884479		1374676	1374689		   13
1884502	1884504		1374712	1374714		    2
1884535	1884581		1374745	1374791		   46
1884614	1884616		1374824	1374826		    2
1884670	1884671		1374880	1374881		    1
1884919	1884920		1375129	1375130		    1
1885008	1885009		1375218	1375219		    1
1885242	1885247		1375452	1375457		    5
1885315	1885317		1375525	1375527		    2
1885411	1885412		1375621	1375622		    1
1885465	1885466		1375675	1375676		    1
1885540	1885541		1375750	1375751		    1
1885562	1885563		1375772	1375773		    1
1885660	1885662		1375870	1375872		    2
1885906	1885910		1376116	1376120		    4
1886007	1886008		1376217	1376218		    1
1886032	1886034		1376242	1376244		    2
1886148	1886170		1376358	1376380		   22
1886234	1886236		1376444	1376446		    2
1886334	1886336		1376544	1376546		    2
1886374	1886375		1376584	1376585		    1
1886424	1886426		1376634	1376636		    2
1886469	1886471		1376679	1376681		    2
1886565	1886566		1376775	1376776		    1
1886622	1886645		1376832	1376855		   23
1886713	1886722		1376923	1376932		    9
1886802	1886811		1377012	1377021		    9
1886871	1886872		1377081	1377082		    1
1886895	1886896		1377105	1377106		    1
1887009	1887011		1377219	1377221		    2
1887036	1887041		1377246	1377251		    5
1887069	1887079		1377279	1377289		   10
1887138	1887145		1377348	1377355		    7
1887269	1887280		1377479	1377490		   11
1887333	1887335		1377543	1377545		    2
1887366	1887367		1377576	1377577		    1
1887467	1887468		1377677	1377678		    1
1887651	1887652		1377861	1377862		    1
1887726	1887748		1377936	1377958		   22
1887807	1887811		1378017	1378021		    4
1887867	1887878		1378077	1378088		   11
1887944	1887947		1378154	1378157		    3
1888161	1888174		1378371	1378384		   13
1888202	1888296		1378412	1378506		   94
1888406	1888434		1378616	1378644		   28
1888535	1888536		1378745	1378746		    1
1888557	1888581		1378767	1378791		   24
1888734	1888736		1378944	1378946		    2
1888761	1888762		1378971	1378972		    1
1888866	1888870		1379076	1379080		    4
1888932	1888934		1379142	1379144		    2
1889019	1889083		1379229	1379293		   64
1889145	1889146		1379355	1379356		    1
1889280	1889282		1379490	1379492		    2
1889326	1889327		1379536	1379537		    1
1889481	1889486		1379691	1379696		    5
1889523	1889525		1379733	1379735		    2
1889546	1889548		1379756	1379758		    2
1889670	1889672		1379879	1379881		    2
1889830	1889831		1380039	1380040		    1
1889921	1889922		1380130	1380131		    1
1889958	1889960		1380167	1380169		    2
1890041	1890063		1380250	1380272		   22
1890243	1890252		1380452	1380461		    9
1890371	1890372		1380580	1380581		    1
1890530	1890532		1380739	1380741		    2
1890560	1890571		1380769	1380780		   11
1890620	1890622		1380829	1380831		    2
1890729	1890768		1380938	1380977		   39
1890812	1890833		1381021	1381042		   21
1890854	1890865		1381063	1381074		   11
1890974	1890987		1381183	1381196		   13
1891034	1891057		1381243	1381266		   23
1891078	1891086		1381287	1381295		    8
1891142	1891245		1381351	1381454		  103
1891268	1891270		1381477	1381479		    2
1891337	1891357		1381546	1381566		   20
1891391	1891392		1381600	1381601		    1
1891436	1891477		1381645	1381686		   41
1891634	1891635		1381843	1381844		    1
1891694	1891695		1381903	1381904		    1
1891827	1891846		1382036	1382055		   19
1891952	1891953		1382162	1382163		    1
1891997	1891999		1382207	1382209		    2
1892318	1892335		1382528	1382545		   17
1892423	1892424		1382633	1382634		    1
1892451	1892452		1382661	1382662		    1
1892498	1892500		1382708	1382710		    2
1892541	1892542		1382751	1382752		    1
1892588	1892589		1382798	1382799		    1
1892640	1892641		1382850	1382851		    1
1892678	1892680		1382888	1382890		    2
1892705	1892706		1382915	1382916		    1
1892843	1892844		1383053	1383054		    1
1892867	1892894		1383077	1383104		   27
1892972	1893000		1383182	1383210		   28
1893047	1893049		1383257	1383259		    2
1893083	1893084		1383293	1383294		    1
1893125	1893127		1383335	1383337		    2
1893218	1893241		1383428	1383451		   23
1893266	1893292		1383476	1383502		   26
1893364	1893387		1383574	1383597		   23
1893541	1893542		1383751	1383752		    1
1893610	1893612		1383820	1383822		    2
1893640	1893641		1383850	1383851		    1
1893742	1893755		1383952	1383965		   13
1893823	1893830		1384033	1384040		    7
1893868	1893875		1384078	1384085		    7
1893898	1893915		1384108	1384125		   17
1893949	1893959		1384159	1384169		   10
1893995	1894011		1384205	1384221		   16
1894036	1894037		1384246	1384247		    1
1894075	1894101		1384285	1384311		   26
1894126	1894161		1384336	1384371		   35
1894246	1894247		1384456	1384457		    1
1894478	1894480		1384688	1384690		    2
1894717	1894718		1384927	1384928		    1
1894888	1894889		1385098	1385099		    1
1894966	1895000		1385176	1385210		   34
1895059	1895060		1385269	1385270		    1
1895101	1895102		1385311	1385312		    1
1895155	1895156		1385365	1385366		    1
1895257	1895259		1385467	1385469		    2
1895287	1895296		1385497	1385506		    9
1895353	1895354		1385563	1385564		    1
1895434	1895438		1385644	1385648		    4
1895629	1895630		1385839	1385840		    1
1896046	1896053		1386256	1386263		    7
1896116	1896117		1386326	1386327		    1
1896207	1896209		1386417	1386419		    2
1896273	1896274		1386483	1386484		    1
1896405	1896406		1386615	1386616		    1
1896729	1896731		1386939	1386941		    2
1896762	1896763		1386972	1386973		    1
1896897	1896899		1387107	1387109		    2
1896946	1896948		1387156	1387158		    2
1897046	1897048		1387256	1387258		    2
1897116	1897117		1387326	1387327		    1
1897170	1897171		1387380	1387381		    1
1897252	1897256		1387462	1387466		    4
1897286	1897306		1387496	1387516		   20
1897584	1897585		1387794	1387795		    1
1898045	1898047		1388255	1388257		    2
1898078	1898080		1388288	1388290		    2
1898155	1898157		1388365	1388367		    2
1898195	1898217		1388405	1388427		   22
1898297	1898313		1388507	1388523		   16
1899268	1899269		1388813	1388814		    1
1900416	1900417		1389081	1389082		    1
1900770	1900771		1389435	1389436		    1
1900934	1900935		1389599	1389600		    1
1900992	1900994		1389657	1389659		    2
1901045	1901056		1389710	1389721		   11
1901096	1901114		1389761	1389779		   18
1901139	1901140		1389804	1389805		    1
1901231	1901232		1389896	1389897		    1
1901292	1901293		1389957	1389958		    1
1901334	1901335		1389999	1390000		    1
1901362	1901363		1390027	1390028		    1
1901416	1901417		1390081	1390082		    1
1901467	1901468		1390132	1390133		    1
1901518	1901529		1390183	1390194		   11
1901570	1901592		1390235	1390257		   22
1901683	1901750		1390348	1390415		   67
1902103	1902105		1390768	1390770		    2
1902316	1902318		1390981	1390983		    2
1902369	1902384		1391034	1391049		   15
1902405	1902435		1391070	1391100		   30
1902786	1902805		1391452	1391471		   19
1902942	1902967		1391608	1391633		   25
1903038	1903039		1391704	1391705		    1
1903070	1903071		1391736	1391737		    1
1903611	1903613		1392277	1392279		    2
1903887	1903889		1392553	1392555		    2
1903980	1903981		1392646	1392647		    1
1904118	1904120		1392784	1392786		    2
1904148	1904155		1392814	1392821		    7
1904225	1904226		1392891	1392892		    1
1904376	1904377		1393042	1393043		    1
1904427	1904428		1393093	1393094		    1
1904508	1904519		1393174	1393185		   11
1904613	1904615		1393279	1393281		    2
1904766	1904803		1393432	1393469		   37
1904916	1904919		1393582	1393585		    3
1904955	1904956		1393621	1393622		    1
1904993	1904994		1393659	1393660		    1
1905057	1905058		1393723	1393724		    1
1905162	1905185		1393828	1393851		   23
1905457	1905459		1395322	1395324		    2
1905620	1905621		1395485	1395486		    1
1905659	1905661		1395524	1395526		    2
1905822	1905823		1395687	1395688		    1
1905891	1905896		1395756	1395761		    5
1906141	1906142		1396006	1396007		    1
1906318	1906319		1396183	1396184		    1
1906381	1906382		1396246	1396247		    1
1906456	1906457		1396321	1396322		    1
1907018	1907019		1396883	1396884		    1
1907198	1907199		1397063	1397064		    1
1907899	1907900		1397764	1397765		    1
1908066	1908067		1397931	1397932		    1
1908361	1908362		1398226	1398227		    1
1908443	1908447		1398308	1398312		    4
1908497	1908499		1398362	1398364		    2
1908593	1908594		1398458	1398459		    1
1908695	1908697		1398560	1398562		    2
1908725	1908726		1398590	1398591		    1
1908803	1908804		1398668	1398669		    1
1908866	1908867		1398731	1398732		    1
1909084	1909085		1398949	1398950		    1
1911055	1911056		1399607	1399608		    1
1911153	1911159		1399705	1399711		    6
1911343	1911344		1399895	1399896		    1
1911390	1911403		1399942	1399955		   13
1911493	1911494		1400045	1400046		    1
1911715	1911716		1400267	1400268		    1
1912003	1912004		1400555	1400556		    1
1912180	1912181		1400732	1400733		    1
1912258	1912259		1400810	1400811		    1
1912315	1912316		1400867	1400868		    1
1912353	1912354		1400905	1400906		    1
1913088	1913093		1401640	1401645		    5
1913288	1913290		1401840	1401842		    2
1913538	1913539		1402090	1402091		    1
1913573	1913581		1402125	1402133		    8
1913748	1913750		1402300	1402302		    2
1913831	1913905		1402383	1402457		   74
1914339	1914341		1402891	1402893		    2
1914432	1914445		1402984	1402997		   13
1914549	1914550		1403101	1403102		    1
1914938	1914940		1403490	1403492		    2
1915331	1915332		1403883	1403884		    1
1915376	1915377		1403928	1403929		    1
1915577	1915578		1404129	1404130		    1
1915619	1915620		1404171	1404172		    1
1915752	1915778		1404304	1404330		   26
1915872	1915905		1404424	1404457		   33
1915964	1915972		1404516	1404524		    8
1916029	1916031		1404581	1404583		    2
1916249	1916250		1404801	1404802		    1
1916315	1916316		1404867	1404868		    1
1916390	1916407		1404942	1404959		   17
1916432	1916434		1404984	1404986		    2
1916642	1916661		1405194	1405213		   19
1916986	1916987		1405538	1405539		    1
1917008	1917009		1405560	1405561		    1
1917122	1917124		1405674	1405676		    2
1917165	1917177		1405717	1405729		   12
1917242	1917244		1405794	1405796		    2
1917275	1917278		1405827	1405830		    3
1917642	1917643		1406194	1406195		    1
1917744	1917748		1406296	1406300		    4
1917915	1917916		1406467	1406468		    1
1917996	1917997		1406548	1406549		    1
1918065	1918066		1406617	1406618		    1
1918266	1918267		1406818	1406819		    1
1918332	1918333		1406884	1406885		    1
1918371	1918372		1406923	1406924		    1
1918768	1918769		1407320	1407321		    1
1918948	1918951		1407500	1407503		    3
1919127	1919129		1407679	1407681		    2
1919373	1919375		1407925	1407927		    2
1919419	1919429		1407971	1407981		   10
1919556	1919558		1408108	1408110		    2
1919803	1919822		1408355	1408374		   19
1920087	1920108		1408639	1408660		   21
1920356	1920483		1408908	1409035		  127
1920551	1920553		1409103	1409105		    2
1920921	1920922		1409473	1409474		    1
1920975	1920976		1409527	1409528		    1
1921014	1921039		1409566	1409591		   25
1921101	1921102		1409653	1409654		    1
1921356	1921357		1409908	1409909		    1
1921473	1921474		1410025	1410026		    1
1921499	1921500		1410051	1410052		    1
1921887	1921901		1410439	1410453		   14
1921929	1921931		1410481	1410483		    2
1921959	1921974		1410511	1410526		   15
1921998	1922029		1410550	1410581		   31
1922106	1922137		1410658	1410689		   31
1922190	1922196		1410742	1410748		    6
1922334	1922365		1410886	1410917		   31
1922421	1922423		1410973	1410975		    2
1922454	1922473		1411006	1411025		   19
1922532	1922617		1411084	1411169		   85
1922668	1922676		1411220	1411228		    8
1922746	1922781		1411298	1411333		   35
1922812	1922813		1411364	1411365		    1
1922956	1922957		1411508	1411509		    1
1923024	1923025		1411576	1411577		    1
1923248	1923254		1411800	1411806		    6
1923578	1923579		1412131	1412132		    1
1923664	1923665		1412217	1412218		    1
1923756	1923778		1412309	1412331		   22
1923816	1923818		1412369	1412371		    2
1923854	1923872		1412407	1412425		   18
1923897	1923899		1412450	1412452		    2
1923924	1923926		1412477	1412479		    2
1923990	1923992		1412543	1412545		    2
1924023	1924025		1412576	1412578		    2
1924183	1924194		1412736	1412747		   11
1924297	1924299		1412850	1412852		    2
1924327	1924339		1412880	1412892		   12
1924367	1924370		1412920	1412923		    3
1924637	1924638		1413190	1413191		    1
1924726	1924728		1413279	1413281		    2
1924759	1924760		1413312	1413313		    1
1924796	1924797		1413349	1413350		    1
1924827	1924835		1413380	1413388		    8
1924885	1924886		1413438	1413439		    1
1924909	1924910		1413462	1413463		    1
1924972	1924973		1413525	1413526		    1
1925016	1925018		1413569	1413571		    2
1925356	1925357		1413909	1413910		    1
1925492	1925494		1414045	1414047		    2
1927019	1927020		1415572	1415573		    1
1927547	1927548		1416100	1416101		    1
1927740	1927742		1416293	1416295		    2
1928933	1928935		1417486	1417488		    2
1929029	1929030		1417582	1417583		    1
1930091	1930092		1418834	1418835		    1
1930130	1930131		1418873	1418874		    1
1930271	1930285		1419014	1419028		   14
1930319	1930338		1419062	1419081		   19
1931176	1931222		1419923	1419969		   46
1931253	1931255		1420000	1420002		    2
1931280	1931288		1420027	1420035		    8
1931312	1931313		1420059	1420060		    1
1931334	1931342		1420081	1420089		    8
1931366	1931369		1420113	1420116		    3
1931431	1931456		1420178	1420203		   25
